"n","rho","method","variable","selection_rate","true_positive_rate","type_II_error","false_positive_rate","type_I_error","mean_beta_hat_uncond","bias_uncond","mean_beta_hat_selected","bias_selected","coverage_selected","coverage_uncond"
250,0,"LASSO lambda.min","X4",1,1,0,NA,NA,0.666265340604003,-0.000401326062663344,0.666265340604003,-0.000401326062663344,0.9427,0.9427
250,0,"LASSO lambda.min","X5",1,1,0,NA,NA,0.832830330168442,-0.00050300316489171,0.832830330168442,-0.00050300316489171,0.9441,0.9441
250,0,"LASSO lambda.min","X6",0.4007,NA,NA,0.4007,0.0567,-4.50997302786485e-05,-4.50997302786485e-05,-0.000112552359068252,-0.000112552359068252,0.858497629148989,0.344
250,0,"LASSO lambda.min","X7",0.3934,NA,NA,0.3934,0.0524,0.000330913237978406,0.000330913237978406,0.000841162272441296,0.000841162272441296,0.866802236908998,0.341
250,0,"LASSO lambda.min","X8",0.391,NA,NA,0.391,0.0531,-0.00044283044873876,-0.00044283044873876,-0.0011325586924265,-0.0011325586924265,0.864194373401534,0.3379
250,0,"LASSO lambda.min","X9",0.4076,NA,NA,0.4076,0.053,-0.000660417952290113,-0.000660417952290113,-0.0016202599418305,-0.0016202599418305,0.869970559371933,0.3546
250,0.35,"AIC","X1",0.7841,0.7841,0.2159,NA,NA,0.154192061500552,-0.0124746051661149,0.196648465119949,0.0299817984532821,0.95944394847596,0.7523
250,0.35,"AIC","X10",0.1796,NA,NA,0.1796,0.0613,0.000384636648629958,0.000384636648629958,0.00214162944671469,0.00214162944671469,0.658685968819599,0.1183
250,0.35,"AIC","X11",0.1737,NA,NA,0.1737,0.0604,-0.000188347941409837,-0.000188347941409837,-0.00108432896609002,-0.00108432896609002,0.652274035693725,0.1133
250,0.35,"AIC","X12",0.1769,NA,NA,0.1769,0.0632,0.00075906509950126,0.00075906509950126,0.00429092763991668,0.00429092763991668,0.642736009044658,0.1137
250,0.35,"AIC","X13",0.1862,NA,NA,0.1862,0.0601,0.000718337641232696,0.000718337641232696,0.00385788206891888,0.00385788206891888,0.677228786251343,0.1261
250,0.35,"AIC","X14",0.1779,NA,NA,0.1779,0.0626,3.04918380889085e-05,3.04918380889085e-05,0.000171398752607692,0.000171398752607692,0.648116919617763,0.1153
250,0.35,"AIC","X15",0.1837,NA,NA,0.1837,0.0642,0.000456394845030502,0.000456394845030502,0.00248445751241427,0.00248445751241427,0.650517147523135,0.1195
250,0.35,"AIC","X16",0.1836,NA,NA,0.1836,0.0672,0.000271259870808291,0.000271259870808291,0.00147745027673361,0.00147745027673361,0.633986928104575,0.1164
250,0.35,"AIC","X17",0.1766,NA,NA,0.1766,0.0623,0.000876249874899562,0.000876249874899562,0.00496177732106207,0.00496177732106207,0.64722536806342,0.1143
250,0.35,"AIC","X18",0.1802,NA,NA,0.1802,0.0623,0.00092373462282286,0.00092373462282286,0.00512616327870622,0.00512616327870622,0.654273029966704,0.1179
250,0.35,"AIC","X19",0.177,NA,NA,0.177,0.0619,0.000526019089552065,0.000526019089552065,0.00297185926300602,0.00297185926300602,0.650282485875706,0.1151
250,0.35,"AIC","X2",0.9978,0.9978,0.00219999999999998,NA,NA,0.332806760553327,-0.00052657278000632,0.333540549762805,0.000207216429471851,0.938564842653838,0.9365
250,0.35,"AIC","X20",0.1827,NA,NA,0.1827,0.0629,0.000525962372432093,0.000525962372432093,0.00287883071938748,0.00287883071938748,0.655719759168035,0.1198
250,0.35,"AIC","X3",1,1,0,NA,NA,0.500834254874013,0.000834254874013312,0.500834254874013,0.000834254874013312,0.9388,0.9388
250,0.35,"AIC","X4",1,1,0,NA,NA,0.667495250827065,0.000828584160397834,0.667495250827065,0.000828584160397834,0.9362,0.9362
250,0.35,"AIC","X5",1,1,0,NA,NA,0.835934318158495,0.0026009848251617,0.835934318158495,0.0026009848251617,0.9403,0.9403
250,0.35,"AIC","X6",0.1836,NA,NA,0.1836,0.0646,-0.000403595149959487,-0.000403595149959487,-0.00219823066426736,-0.00219823066426736,0.648148148148148,0.119
250,0.35,"AIC","X7",0.18,NA,NA,0.18,0.0627,0.00101642414707378,0.00101642414707378,0.00564680081707656,0.00564680081707656,0.651666666666667,0.1173
